row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
409,HD 113996 b,6.3,,610.2,2017
410,HD 114386 b,1.24,,937,2003
411,HD 114386 c,1.19,,1046,2011
412,HD 114613 b,0.48,,3827,2014
413,HD 114729 b,0.84,,1135,2002
414,HD 114762 b,10.98,,83.9151,1989
415,HD 114783 b,6.3,,493.7,2001
416,HD 11506 b,3.44,,1270,2007
417,HD 11506 c,0.82,,170.46,2009
418,HD 1160 b,79,,,2012
419,HD 116029 b,2.1,,670.2,2011
420,HD 117207 b,2.06,,2627.08,2004
421,HD 11755 b,6.5,,433.7,2015
422,HD 117618 b,0.178,,25.827,2004
423,HD 117618 c,0.2,,318,2013
424,HD 118203 b,2.14,1.05,6.13322,2005
425,HD 119445 b,37.6,,410.2,2009
426,HD 11964 b,0.622,,1945,2005
427,HD 11964 c,0.079,,37.91,2005
428,HD 11977 b,6.29,,711,2005
429,HD 120084 b,4.5,,2082,2013
430,HD 121504 b,1.22,,63.33,2003
431,HD 122562 b,24,,2777,2016
432,HD 12484 b,2.98,,58.83,2016
433,HD 125595 b,0.042,,9.6737,2009
434,HD 125612 b,3,,502,2007
435,HD 125612 c,0.058,,4.1547,2009
436,HD 125612 d,7.2,,3008,2009
437,HD 12648 b,2.9,,133.6,2015
438,HD 126525 b,0.224,,948.12,2011
439,HD 12661 b,2.3,,263.6,2000
440,HD 12661 c,1.57,,1708,2002
441,HD 126614 b,0.38,,1244,2010
442,HD 128311 b,2.18,,448.6,2002
443,HD 128311 c,4.19,,919,2005
444,HD 128356 b,0.89,,298.2,2016
445,HD 129445 b,1.6,,1840,2010
446,HD 130322 b,1.05,,10.72,1999
447,HD 131496 b,2.2,,883,2011
448,HD 13189 b,14,,471.6,2005
449,HD 132406 b,5.61,,974,2007
450,HD 132563 B b,1.49,,1544,2011
451,HD 133131 A b,1.43,,649,2016
452,HD 133131 A c,0.48,,3407,2016
453,HD 133131 B b,2.5,,6119,2016
454,HD 134060 b,0.0351,,3.27,2011
455,HD 134060 c,0.1507,,1160.9,2011
456,HD 134113 b,47,,201.68,2016
457,HD 134606 b,0.0292,,12.083,2011
458,HD 134606 c,0.0382,,59.519,2011
459,HD 134606 d,0.121,,459.26,2011
460,HD 134987 b,1.59,,258.19,1999
461,HD 134987 c,0.82,,5000,2009
462,HD 136352 b,0.0166,,11.577,2011
463,HD 136352 c,0.0358,,27.582,2011
464,HD 136352 d,0.03,,106.72,2011
465,HD 136418 b,2,,464.3,2010
466,HD 137388 b,0.223,,330,2011
467,HD 13808 b,0.0325,,14.182,2011
468,HD 13808 c,0.036,,53.832,2011
469,HD 13908 b,0.865,,19.382,2013
470,HD 13908 c,5.13,,931,2013
471,HD 13931 b,1.88,,4218,2010
472,HD 139357 b,9.76,,1125.7,2009
473,HD 14067 b,7.8,,1455,2014
474,HD 141399 b,0.451,,94.44,2014
475,HD 141399 c,1.33,,201.99,2014
476,HD 141399 d,1.18,,1069.8,2014
477,HD 141399 e,0.66,,5000,2014
478,HD 141937 b,9.7,,653.22,2002
479,HD 142 b,1.25,,349.7,2001
480,HD 142 c,5.3,,6005,2012
481,HD 142022 A b,29,,1928,2005
482,HD 142245 b,1.9,,1299,2011
483,HD 142415 b,1.62,,386.3,2003
484,HD 143105 b,1.21,,2.1974,2016
485,HD 143361 b,3.12,,1057,2008
486,HD 143761 b,1.045,,39.8458,2016
487,HD 143761 c,0.079,,102.54,2016
488,HD 145377 b,5.76,,103.95,2008
489,HD 145457 b,2.9,,176.3,2010
490,HD 145934 b,2.28,,2730,2015
491,HD 1461 b,0.0203,,5.77152,2009
492,HD 1461 c,0.0176,,13.5052,2011
493,HD 147018 b,2.12,,44.236,2009
494,HD 147018 c,6.56,,1008,2009
495,HD 147379 b,0.0777,,86.54,2017
496,HD 147513 b,1.21,,528.4,2003
497,HD 147873 b,5.14,,116.596,2016
498,HD 147873 c,2.3,,491.54,2016
499,HD 148156 b,0.85,,1010,2009
500,HD 148427 b,0.96,,331.5,2009
501,HD 149026 b,0.357,0.718,2.8758916,2005
502,HD 149143 b,1.33,1.05,4.07206,2005
503,HD 1502 b,3.1,,431.8,2011
504,HD 150433 b,0.168,,1096.2,2011
505,HD 150706 b,2.71,,5894,2002
506,HD 152079 b,3,,2097,2010
507,HD 152581 b,1.5,,689,2011
508,HD 153950 b,2.73,,499.4,2008
509,HD 154088 b,0.0193,,18.596,2011
510,HD 154345 b,1.3,,3538,2006
511,HD 154672 b,5.02,,163.91,2008
512,HD 154857 b,2.24,,408.6,2004
513,HD 154857 c,2.58,,3452,2014
514,HD 155233 b,2.6,,818.8,2015
515,HD 155358 b,0.85,,194.3,2007
516,HD 155358 c,0.82,,391.9,2007
517,HD 156279 b,9.71,,131.05,2011
518,HD 156411 b,0.74,,842.2,2009
519,HD 156668 b,0.0131,,4.646,2010
520,HD 157172 b,0.12,,104.84,2011
521,HD 158038 b,1.8,,521,2011
522,HD 159243 b,1.13,,12.62,2013
523,HD 159243 c,1.9,,248.4,2013
524,HD 159868 b,2.1,,1178.4,2007
525,HD 159868 c,0.73,,352.3,2012
526,HD 1605 b,0.96,,577.9,2015
527,HD 1605 c,3.48,,2111,2015
528,HD 160508 b,48,,178.9049,2016
529,HD 16141 b,0.215,,75.82,2000
530,HD 16175 b,4.77,,995.4,2007
